,0,1,2,3
0,The Beatles,rock,I Saw Her Standing There,"One, two, three, four! 
 Well, she was just seventeen 
 If you know what I mean 
 And the way she looked 
 Was way beyond compare 
 So how could I dance with another 
 When I saw her standing there? 
 Well, she looked at me 
 And I, I could see 
 That before too long 
 I'd fall in love with her 
 She wouldn't dance with another 
 When I saw her standing there 
 Well, my heart went boom 
 When I crossed that room 
 And I held her hand in mine 
 Whoa, we danced through the night 
 And we held each other tight 
 And before too long 
 I fell in love with her 
 Now, I'll never dance with another 
 When I saw her standing there 
 Well, my heart went boom 
 When I crossed that room 
 And I held her hand in mine 
 Oh, we danced through the night 
 And we held each other tight 
 And before too long 
 I fell in love with her 
 Now, I'll never dance with another 
 Since I saw her standing there 
 Whoa, since I saw her standing there 
 Yeah, well, since I saw her standing there"
1,The Beatles,rock,Misery,"The world is treating me bad 
 Misery 
 I'm the kind of guy 
 Who never used to cry 
 The world is treating me bad 
 Misery 
 I've lost her now for sure 
 I won't see her no more 
 It's gonna be a drag 
 Misery 
 I'll remember all the little things we've done 
 Can't she see she'll always be the only one? 
 Only one 
 Send her back to me 
 'Cause everyone can see 
 Without her I will be 
 In misery 
 I'll remember all the little things we've done 
 She'll remember and she'll miss her only one 
 Lonely one 
 Send her back to me 
 'Cause everyone can see 
 Without her I will be 
 In misery 
 In misery 
 My misery 
 Misery"
2,The Beatles,rock,Anna (Go To Him),"Anna 
 You come and ask me, girl 
 To set you free, girl 
 You say he loves you more than me 
 So I will set you free 
 Go with him 
 Go with him 
 Anna 
 Girl, before you go now 
 I want you to know now 
 That I still love you so 
 But if he loves you more 
 Go with him 
 All of my life 
 I've been searching for a girl 
 To love me like I love you 
 Oh, now 
 But every girl I've ever had 
 Breaks my heart and leave me sad 
 What am I, what am I supposed to do? 
 Anna 
 Just one more thing, girl 
 You give back your ring to me 
 And I will set you free 
 Go with him 
 All of my life 
 I've been searching for a girl 
 To love me like I love you 
 But let me tell you now 
 But every girl I've ever had 
 Breaks my heart and leave me sad 
 What am I, what am I supposed to do? 
 Anna 
 Just one more thing, girl 
 You give back your ring to me 
 And I will set you free 
 Go with him 
 Go with him 
 You can go with him, girl 
 Go with him"
3,The Beatles,rock,Chains,"Chains 
 My baby's got me locked up in chains 
 And they ain't the kind 
 That you can see 
 Oh-oh, these chains of love 
 Got a hold on me, yeah 
 Chains 
 Well, I can't break away from these chains 
 Can't run around 
 'Cause I'm not free 
 Oh-oh, these chains of love 
 Won't let me be, yeah 
 I wanna tell you, pretty baby 
 I think you're fine 
 I'd like to love you 
 But, darling, I'm imprisoned by these 
 Chains 
 My baby's got me locked up in chains 
 And they ain't the kind 
 That you can see 
 Oh-oh, these chains of love 
 Got a hold on me, yeah 
 Please believe me when I tell you 
 Your lips are sweet 
 I'd like to kiss them 
 But I can't break away from all of these 
 Chains 
 My baby's got me locked up in chains 
 And they ain't the kind 
 That you can see 
 Oh-oh, these chains of love 
 Got a hold on me, yeah 
 Chains 
 Chains of love 
 Chains of love 
 Chains of love 
 ..."
4,The Beatles,rock,Boys,"I've been told when a boy kiss a girl 
 Take a trip around the world 
 Hey, hey (bop shoo-wop, mbop-bop shoo-wop) 
 Hey, hey (bop shoo-wop, mbop-bop shoo-wop) 
 Hey, hey (bop shoo-wop, mbop-bop shoo-wop) 
 Yeah, she say you do (bop shoo-wop) 
 My girl says when I kiss her lips 
 Gets a thrill through her fingertips (ow!) 
 Hey, hey (bop shoo-wop, mbop-bop shoo-wop) 
 Hey, hey (bop shoo-wop, mbop-bop shoo-wop) 
 Hey, hey (bop shoo-wop, mbop-bop shoo-wop) 
 Yeah, she say you do (bop shoo-wop) 
 Well, I talk about boys (yeah, yeah, boys) 
 Don't you know I mean boys? (yeah, yeah, boys) 
 Well, I talk about boys now (yeah, yeah, boys) 
 Ah, boys (yeah, yeah, boys) 
 Well, I talk about boys now (yeah, yeah, boys) 
 What a bundle of joy! (yeah, yeah) (whoa) 
 (Owww) 
 All right, George! 
 Ah-ha! 
 Whoo! 
 Waaa! 
 My girl says when I kiss her lips 
 Gets a thrill through her fingertips (ow!) 
 Hey, hey (bop shoo-wop, mbop-bop shoo-wop) 
 Hey, hey (bop shoo-wop, mbop-bop shoo-wop) 
 Hey, hey (bop shoo-wop, mbop-bop shoo-wop) 
 Yeah, she say you do (bop shoo-wop) 
 Well, I talk about boys (yeah, yeah, boys) 
 Don't you know I mean boys? (yeah, yeah, boys) 
 Well, I talk about boys now (yeah, yeah, boys) 
 Ah! (yeah, yeah, boys) 
 Well, I talk about boys now (yeah, yeah, boys) 
 What a bundle of joy! (yeah, yeah) 
 Whoa, whoa (ah-ha) 
 Oh, yaah! 
 Boys (yeah, yeah, boys) 
 Don't you know I mean boys? (yeah, yeah, boys) 
 Whoo! boys (yeah, yeah, boys) 
 Ahh-ha! (yeah, yeah, boys) 
 Well, I talk about boys now (yeah, yeah, boys)"
5,The Beatles,rock,Ask Me Why,"I love you 
 'Cause you tell me things I want to know 
 And it's true 
 That it really only goes to show 
 That I know that I 
 Should never, never, never be blue 
 Now you're mine 
 My happiness, dear, makes me cry 
 And in time 
 You'll understand the reason why 
 If I cry, it's not because I'm sad 
 But you're the only love that I've ever had 
 I can't believe 
 It's happened to me 
 I can't conceive 
 Of any more 
 Misery 
 Ask me why 
 I'll say I love you 
 And I'm always thinking of you 
 I love you 
 'Cause you tell me things I want to know 
 And it's true 
 That it really only goes to show 
 That I know that I 
 Should never, never, never be blue 
 Ask me why 
 I'll say I love you 
 And I'm always thinking of you 
 I can't believe 
 It's happened to me 
 I can't conceive 
 Of any more 
 Misery 
 Ask me why 
 I'll say I love you 
 And I'm always thinking of you 
 You 
 You"
6,The Beatles,rock,Please Please Me,"Last night I said these words to my girl 
 I know you never even try, girl 
 Come on (come on), come on (come on) 
 Come on (come on), come on (come on) 
 Please please me, whoa, yeah 
 Like I please you 
 You don't need me to show the way, love 
 Why do I always have to say ""love""? 
 Come on (come on), come on (come on) 
 Come on (come on), come on (come on) 
 Please please me, whoa, yeah 
 Like I please you 
 I don't wanna sound complaining 
 But you know there's always rain in my heart (in my heart) 
 I do all the pleasing with you 
 It's so hard to reason With you, whoa yeah 
 Why do you make me blue? 
 Last night I said these words to my girl 
 I know you never even try, girl 
 Come on (come on), come on (come on) 
 Come on (come on), come on (come on) 
 Please please me, whoa, yeah 
 Like I please you 
 (Please) me, whoa, yeah 
 Like I please you 
 (Please) me, whoa, yeah 
 Like I please you"
7,The Beatles,rock,Love Me Do,"Love, love me do 
 You know I love you 
 I'll always be true 
 So please, love me do 
 Whoa, love me do 
 Love, love me do 
 You know I love you 
 I'll always be true 
 So please, love me do 
 Whoa, love me do 
 Someone to love 
 Somebody new 
 Someone to love 
 Someone like you 
 Love, love me do 
 You know I love you 
 I'll always be true 
 So please, love me do 
 Whoa, love me do 
 Love, love me do 
 You know I love you 
 I'll always be true 
 So please, love me do 
 Whoa, love me do 
 Yeah, love me do 
 Whoa, love me do 
 Yeah, love me do"
8,The Beatles,rock,P.S. I Love You,"As I write this letter 
 Send my love to you 
 Remember that I'll always 
 Be in love with you 
 Treasure these few words 
 'Til we're together 
 Keep all my love forever 
 P.S. I love you 
 You, you, you 
 I'll be coming home again to you, love 
 And 'til the day I do, love 
 P.S. I love you 
 You, you, you 
 As I write this letter 
 Send my love to you 
 Remember that I'll always 
 Be in love with you 
 Treasure these few words 
 'Til we're together 
 Keep all my love forever 
 P.S. I love you 
 You, you, you 
 As I write this letter 
 Send my love to you (you know I want you to) 
 Remember that I'll always 
 Be in love with you 
 I'll be coming home again to you, love 
 And 'til the day I do, love 
 P.S. I love you 
 You, you, you 
 You, you, you 
 I love you"
9,The Beatles,rock,Baby It's You,"Sha-la-la-la-la-la-la 
 Sha-la-la-la-la-la-la 
 Sha-la-la-la-la-la-la 
 It's not the way you smile that touched my heart 
 It's not the way you kiss that tears me apart 
 Many many many nights go by 
 I sit alone at home and cry over you 
 What can I do 
 Can't help myself 
 'Cos, baby, it's you 
 Baby, it's you (Sha-la-la-la-la-la-la!) 
 You should hear what they say about you 
 Cheat, cheat 
 They say, they say you never never never ever been true (Cheat, cheat) 
 It doesn't matter what they say 
 I know I'm gonna love you any old way 
 What can I do, when it's true 
 Don't want nobody, nobody 
 'Cos, baby, it's you 
 Baby, it's you (Sha-la-la-la-la-la-la!) 
 It doesn't matter what they say 
 I know I'm gonna love you any old way 
 What can I do, when it's true 
 Don't want nobody, nobody 
 'Cos, baby, it's you 
 Baby, it's you (Sha-la-la-la-la-la-la-la!) 
 Don't leave me all alone 
 Come on home"
10,The Beatles,rock,Do You Want To Know A Secret?,"You'll never know how much I really love you 
 You'll never know how much I really care 
 Listen 
 Do you want to know a secret? 
 Do you promise not to tell? 
 Closer 
 Let me whisper in your ear 
 Say the words you long to hear 
 I'm in love with you 
 Listen 
 Do you want to know a secret? 
 Do you promise not to tell? 
 Closer 
 Let me whisper in your ear 
 Say the words you long to hear 
 I'm in love with you 
 I've known a secret for a week or two 
 Nobody knows 
 Just we two 
 Listen 
 Do you want to know a secret? 
 Do you promise not to tell? 
 Closer 
 Let me whisper in your ear 
 Say the words you long to hear 
 I'm in love with you"
11,The Beatles,rock,A Taste Of Honey,"A taste of honey 
 Tasting much sweeter 
 Than wine 
 Doo doo n'doo 
 Doo doo n'doo 
 I dream of your 
 First kiss and then 
 I feel upon 
 My lips again 
 A taste of honey (A taste of honey) 
 Tasting much sweeter 
 Than wine 
 Oh, I will return 
 Yes, I will return 
 I'll come back 
 For the honey and you 
 Yours was the kiss 
 That awoke my heart 
 There lingers still 
 Though we're far apart 
 That taste of honey 
 (A taste of honey) 
 Tasting much sweeter 
 Than wine 
 Oh, I will return 
 Yes, I will return 
 I'll come back (He'll come back) 
 For the honey (For the honey) 
 And you"
12,The Beatles,rock,There's A Place,"There is a place 
 Where I can go 
 When I feel low 
 When I feel blue 
 And it's my mind 
 And there's no time 
 When I'm alone 
 I think of you 
 And things you do 
 Go 'round my head 
 The things you said 
 Like ""I love only you"" 
 In my mind there's no sorrow 
 Don't you know that it's so? 
 There'll be no sad tomorrow 
 Don't you know that it's so? 
 There is a place 
 Where I can go 
 When I feel low 
 When I feel blue 
 And it's my mind 
 And there's no time 
 When I'm alone 
 There's a place"
13,The Beatles,rock,Twist And Shout,"Well, shake it up, baby, now (shake it up, baby) 
 Twist and shout (twist and shout) 
 Come on, come on, come on, come on, baby now (come on, baby) 
 Come on and work it on out (work it on out, ooh) 
 Well, work it on out, honey (work it on out) 
 You know, you look so good (look so good) 
 You know, you got me going now (got me going) 
 Just like I knew you would (like I knew you would, ooh) 
 Well, shake it up, baby, now (shake it up, baby) 
 Twist and shout (twist and shout) 
 Come on, come on, come on, come on, baby, now (come on, baby) 
 Come on and work it on out (work it on out, ooh) 
 You know you twist, little girl (twist, little girl) 
 You know you twist so fine (twist so fine) 
 Come on and twist a little closer now (twist a little closer) 
 And let me know that you're mine (let me know you're mine, ooh) 
 Yeah, shake it up, baby, now (shake it up, baby) 
 Twist and shout (twist and shout) 
 Come on, come on, come on, come on, baby, now (come on, baby) 
 Come on and work it on out (work it on out, ooh) 
 You know you twist, little girl (twist, little girl) 
 You know you twist so fine (twist so fine) 
 Come on and twist a little closer now (twist a little closer) 
 And let me know that you're mine (let me know you're mine) 
 Well, shake it, shake it, shake it, baby, now (shake it up, baby) 
 Well, shake it, shake it, shake it, baby, now (shake it up, baby) 
 Well, shake it, shake it, shake it, baby, now (shake it up, baby)"
14,The Beatles,rock,It Won't Be Long,"It won't be long 
 Yeah (yeah) yeah (yeah) yeah (yeah) 
 It won't be long 
 Yeah (yeah) yeah (yeah) yeah (yeah) 
 It won't be long 
 Yeah (yeah) 
 'Til I belong to you (ahh) 
 Every night, when everybody has fun 
 Here am I, sitting all on my own 
 It won't be long 
 Yeah (yeah) yeah (yeah) yeah (yeah) 
 It won't be long 
 Yeah (yeah) yeah (yeah) yeah (yeah) 
 It won't be long 
 Yeah (yeah) 
 'Til I belong to you (ahh) 
 Since you left me (you left me here on my own) 
 I'm so alone 
 Now you're coming 
 You're coming on home (now you're coming on home) 
 I'll be good like I know I should (yes, you're coming on home) 
 You're coming home 
 You're coming home 
 Every night, the tears come down from my eye 
 Every day, I've done nothing but cry 
 It won't be long 
 Yeah (yeah) yeah (yeah) yeah (yeah) 
 It won't be long 
 Yeah (yeah) yeah (yeah) yeah (yeah) 
 It won't be long 
 Yeah (yeah) 
 'Til I belong to you (ahh) 
 Well since you left me (you left me here on my own) 
 I'm so alone 
 Now you're coming 
 You're coming on home (now you're coming on home) 
 I'll be good like I know I should (yes, you're coming on home) 
 You're coming home 
 You're coming home 
 So every day, we'll be happy, I know 
 Now I know that you won't leave me no more 
 It won't be long 
 Yeah (yeah) yeah (yeah) yeah (yeah) 
 It won't be long 
 (Yeah) yeah (yeah) yeah (yeah) 
 It won't be long 
 Yeah (yeah, ahh) 
 'Til I belong to you"
