,0,1,2,3
0,Red Hot Chili Peppers,rock,True Men Don't Kill Coyotes,"Hoo, Lord! 
 Well, I'm gonna ride a sabertooth horse 
 Through the Hollywood hills 
 The farther west, the farther out 
 Yeah, that's the way I feel 
 Well, I dig the dirt an' I dig the dust 
 I barbecue my meals 
 Ridin' wild on a paisley dragon 
 Through the Hollywood hills, yeah... 
 Huh, Hollywood hills 
 Well, I'm gonna ride a sabertooth horse 
 Through the Hollywood hills 
 Just don't show me anything 
 'Cause that's the way I feel 
 Well, I dig the dirt an' I dig the dust 
 I barbecue my meals 
 Ridin' wild on a paisley dragon 
 Through the Hollywood hills, yeah... 
 Huh, Hollywood hills 
 Passion dripping from the coyote's eyes 
 He can taste his blood 
 An' blood never lies 
 Pale face die 
 True men don't kill coyotes 
 True men don't kill coyotes 
 Well, I'm gonna ride a sabertooth horse 
 Through the Hollywood hills 
 The farther west, the farther out 
 Yeah, that's the way I feel 
 Well, I dig the dirt an' I dig the dust 
 I barbecue my meals 
 Ridin' wild on a paisley dragon 
 Through the Hollywood hills, yeah... 
 Huh, Hollywood hills 
 Passion dripping from the coyote's eyes 
 He can taste his blood 
 An' blood never lies 
 Pale face die 
 True men don't kill coyotes 
 True men don't... 
 Well, I'm gonna ride a sabertooth horse 
 Through the Hollywood hills 
 Just don't tell me anything 
 'Cause that's the way I feel 
 Well, I dig the dirt an' I dig the dust 
 I barbecue my meals 
 Ridin' wild on a paisley dragon 
 Through the Hollywood hills, yeah... 
 Huh, Hollywood hills 
 Passion dripping from the coyote's eyes 
 He can taste his blood 
 An' blood never lies 
 Pale face die 
 True men don't kill coyotes 
 True men don't... 
 True men don't kill coyotes 
 True men don't... 
 True men don't kill coyotes 
 True men don't..."
1,Red Hot Chili Peppers,rock,Baby Appeal,"On the city streets, I got the tunes in my box 
 I play the Chili Peppers so the public can rock 
 Excuse me mister, won't you hear my thoughts? 
 I play in a band, yeah, we're called the Red Hots 
 While I'm away, boy, I'm afraid not 
 I've got no time to think and talk 
 But his baby rocked out on the spot 
 She was a shakin' and a kickin', that itty bitty tot 
 Her pop said no, but she just couldn't stop 
 The kid had a case of toddler rock 
 But here's a funky fact that I know is real, 
 The Red Hots have baby appeal 
 They dig a funky spiel, they'll make some spiel 
 I say the Peppers have baby appeal 
 The funk mobile is the one we wheel 
 I'm overjoyed, we have baby appeal 
 We serve those tots in the funk mobile 
 I'm overjoyed, we have baby appeal 
 We stop the fire, we quench the heat 
 We groove the buttocks walking out in the street 
 'Cause that's when in the store when who do we meet? 
 On a hop skip jump up a baby beat 
 She was a shakin' and a kickin' those itty bitty feet 
 The next thing you know was she got out of her bleat 
 Five thousand babies walkin' out in the street 
 Well, that's a serious sight for me and golly gee whiz! 
 I just can't tell ya how much we did 
 Rockin' right out for those itty bitty girls, right out 
 But here's a funky fact that I know is real, 
 The Red Hots have baby appeal 
 They dig a funky spiel, that makes some spiel 
 I say the Peppers have baby appeal 
 The funk mobile is the one we wheel 
 I'm overjoyed, we have baby appeal 
 We serve those tots in the funk mobile 
 I'm overjoyed, we have baby appeal, so get down! 
 Got the tunes in my box... 
 Baby appeal... 
 Rock out!... 
 Play the chili, play the chili, play the chili... 
 Yes, we're called the Red... Hots... 
 On the city streets, I got the tunes in my box 
 I play the Chili Peppers so the public can rock 
 Excuse me mister, won't you hear my thoughts? 
 I play in a band, yeah, we're called the Red Hots 
 While I'm away, boy, I'm afraid not 
 I've got no time to think and talk 
 But this baby rocked out on the spot 
 She was a shakin' and a kickin' that itty bitty tot 
 Her pop said no, but she just couldn't stop 
 The kid had a case of toddler rock 
 But here's a funky fact that I know is real, 
 The Red Hots have baby appeal 
 They dig a funky spiel, they'll make some spiel 
 I say the Peppers have baby appeal 
 The funk mobile is the one we wheel 
 I'm overjoyed, we have baby appeal 
 We serve those tots in the funk mobile 
 I'm overjoyed, we have baby appeal"
2,Red Hot Chili Peppers,rock,Buckle Down,"Hah! 
 On the ice 
 No holdin' 
 My soul 
 I want men 
 Not mice 
 No stoppin' 
 My throw 
 Hah! 
 Get this! 
 Red star 
 Black fist 
 Work 
 Or play ball 
 Or just turn me loose 
 I know what's right, in life, you better buckle down 
 Don't give up your fight, in life, you better buckle down 
 Two days with might, in life, you better buckle down 
 Leave dreams tonight, in life, you better buckle down 
 'Cause I know what's right! 
 Hah! 
 On the ice 
 No holdin' 
 My soul 
 I want men 
 Not mice 
 No stoppin' 
 My throw 
 Hah! 
 Get this! 
 Reds are 
 Back bills 
 Work 
 Or play ball 
 Or just turn me loose 
 I know what's right, in life, you better buckle down 
 Don't give up your fight, in life, you better buckle down 
 Two days with might, in life, you better buckle down 
 Leave dreams tonight, in life, you better buckle down 
 'Cause I know what's right! 
 I know, I know, I know what's right! 
 I know, I know, I know what's right! 
 I know, I know, I know what's right! 
 I know, I know, I know what's right!"
3,Red Hot Chili Peppers,rock,Get Up And Jump,"Get up and jump, get up and jump, get up, get up, get up and jump 
 Jump on up 
 Jump on down 
 Just jump a jump a jump a jump a jump around 
 Jump the day away 
 Jump all over town 
 'Cause jumpin' is okay in a jumpin' kinda way, hey hey 
 Jump a boy 
 Jump a girl 
 Jump a rope 
 Jump for joy 
 Just don't stop jumpin' 
 Keep your heart muscle pumpin' 
 Hillel be jumpin' on that little baby frumpkin 
 Say what, You got a pumpkin in your pants? 
 When you're just standing or sitting still 
 Think about the frogs gettin' a thrill 
 Take a little lesson from the kangaroos 
 Don't you know they're jumpin' foos, jump you! 
 Jump a nun 
 Jump a Jack 
 Jump for fun 
 Jump back 
 How's about us jumpin' in the sack? 
 And now, it's time for a jump attack 
 Get up and jump 
 Get up and jump 
 Get up and jump 
 Get up and jump 
 Get up and jump 
 Get up and jump 
 Get up and jump 
 Get up and jump 
 Jam Bob, Jim Bob, Slim Bob Boogie 
 To the tune of slima Billy 
 Lookin' like you're mighty silly 
 Say what, You got a pumpkin in your pants? 
 Say what, You got a pumpkin in your pants? 
 Mister Mexican jumpin' bean knows 
 His fun is squeaky clean 
 Christ, how'd ya think that he got so clean? 
 Not from sittin' on his goddamn spleen. Get up! 
 Oh, I be jumpin' I be jumpin' I be jumpin' alone 
 I be jumpin' for the phone 
 I be jumpin' Mrs. Jones 
 I really wanna jump on Kinski's bones 
 Get up and jump 
 Get up and jump 
 Get up and jump 
 Get up and jump 
 Get up and jump 
 Get up and jump 
 Get up and jump 
 Get up and jump 
 Get up and hump 
 Get up and hump 
 Get up and hump 
 Get up and bump 
 Get up and bump 
 Get up and bump 
 Get up and stump 
 Get up and plump 
 Jam Bob, Jim Bob, Slim Bob Boogie 
 To the tune of slima Billy 
 Lookin' like you're mighty silly 
 Say what, you got a pumpkin in your pants? 
 Say what, you got a pumpkin in your pants?"
4,Red Hot Chili Peppers,rock,Why Don't You Love Me,"Why don't you love me like you used to do? 
 How come you treat me like a worn out shoe 
 My hair's still curly and my eyes are still blue 
 So why don't you love me like you used to do? 
 Why don't you spot me like you used to do? 
 When you whisper sweet nothings like you used to do 
 I'm the same old trouble that you've always been through 
 So why don't you love me like you used to do? 
 Why don't you be the way you used to be? 
 How come you fight so many fights with me 
 Somebody changed, so lemme give you a clue 
 Why don't you love me like you used to do? 
 Why don't you say the things you used to say? 
 How come you treat me like a piece of clay 
 My hair's still curly and my eyes are still blue 
 So why don't you love me like you used to do? 
 You can't keep a lovin' and a huggin' and a kissin' and I don't know why... 
 We don't get near or further closer land of country mouths 
 I don't love like a huggin' and a kissin' and I don't know why... 
 We don't get near or further closer land of country mouths 
 Take the ball... 
 Why don't you love me like you used to do? 
 How come you treat me like a worn out shoe 
 My hair's still curly and my eyes are still blue 
 So why don't you love me like you used to do? 
 Why don't you spot me like you used to do? 
 When you whisper sweet nothings like you used to do 
 I'm the same old trouble that you've always been through 
 So why don't you love me like you used to do? 
 Why don't you be the way you used to be? 
 How come you fight so many fights with me 
 Somebody changed, so lemme give you a clue 
 Why don't you love me like you used to do? 
 Why don't you say the things you used to say? 
 How come you treat me like a piece of clay 
 My hair's still curly and my eyes are still blue 
 So why don't you love me like you used to do? 
 You can't keep a lovin' and a huggin' and a kissin' and I don't know why... 
 We don't get near or further closer land of country mouths 
 I don't love like a huggin' and a kissin' and I don't know why... 
 We don't get near or further closer land of country mouths"
5,Red Hot Chili Peppers,rock,Green Heaven,"About this planet, there is something I know 
 There's a very big difference between above and below 
 A friend foe, or bro, leave your body on the floor 
 Let your spirit fly away like the soul of a crow 
 Here, above land, man has laid his plan 
 And yes, it does include the Ku Klux Klan 
 We got a government so twisted and bent 
 Bombs, tanks and guns is how our money is spent 
 We got V.D., heroin, greed and prostitution 
 Tension, aggravation, L. Ron Hubbard solution 
 Not to mention hard-core chemical pollution 
 If you think you're just away, you're in a mental institution 
 And that's a heart felt shame 
 'Cause everyone's crazy, everyone's the same 
 So, why should only Larry, Curly and Moe be to blame? 
 Time now to take you to a different place 
 Where peace lovin' whales flow through liquid outer space 
 A groovin' and a gliddin' as graceful as lace 
 A never losing touch with the ocean's embrace 
 Diviner than the dolphin, that there is none 
 'Cause dolphins just-a like to have a lot of fun 
 No one tells 'em how their life is run 
 And no one points at them with a gun 
 They have a lot of love for every living creature 
 The smile of a dolphin is a built in feature 
 They be movin' in schools but everyone's the teacher 
 Someday mister dolphin, I know I'm going to meet you 
 Back to the land of the policeman 
 Where he does whatever he says he can 
 Including hating you because you're a Jew 
 Or beating black ass, that's nothing new 
 Trigger happy cops, they just like to brawl 
 They use guns, clubs, gas, but that's not all 
 They got puke-ridden prisons and sex-sick jails 
 Fuck the poor, if you're rich you pay the bail 
 So support your police, support your local wars 
 That's the way to open economic doors 
 Why do we do it? 'Cause the president's a whore 
 We assume the position to sell the ammunition 
 What the fuck? It's the American tradition 
 Along with going fishin' apple pies in the kitchen 
 Isn't it bitchin' seeing dead men in ditches?"
6,Red Hot Chili Peppers,rock,Mommy Where's Daddy,"Mummy, where's daddy? 
 Mummy, where's daddy? 
 Right here, girl... 
 Sweet thing, you look so sad 
 Cheer up, don't you know your dad is bad 
 Give daddy a kiss, girl 
 Oh, dad 
 There ain't no problem I can't face 
 Your daddy's got a bigger pair of tricks 
 Give daddy a kiss, girl 
 Oh, dad 
 Mummy, where's daddy? 
 Mummy, where's daddy? 
 Come on, sit on your daddy's lap 'cause 
 I'm the one who pats your back 
 Give daddy a kiss, girl 
 Oh, dad 
 Lemme see now where to begin 
 Lemme start by tuckin' you in 
 Give daddy a kiss, girl 
 Oh, dad 
 Mummy, where's daddy?"
7,Red Hot Chili Peppers,rock,Out In L.A.,"We're all a bunch of brothers livin' in a cool way 
 Along with six million others in this place called L.A. 
 L.A. is the place, sets my mind ablaze 
 For me, it's a race through a cotton pickin' maze 
 The town makes me jump, it's got a bunch of bad chicks 
 Well sure, it's got some chumps but I still get my kicks 
 My body loves to scrump when I lick the ripe pick 
 Like a come on a thumb 
 Poppin' hump, hump, hump, pop out 
 The action never stops, I'm as wild as can be 
 'Cause I'm shooting for the top and my best friend is Flea 
 Oom Chucka Willy knew the balls to pop 
 But he never met the Tree so he never be-bopped out hop! 
 Antwan the Swan, from the pretty fish pond 
 Was a bad mother jumper, you could tell he was strong 
 He war a cold paisley jacket and a hellified hat 
 And between his legs was a sweat young lass 
 He threw a hundred women up against the wall 
 And he swore to fear that he'd love 'em all 
 By the time he got to ninety nine, he had to stop 
 Because that's when he thought that he heard a phone 
 Last night and the night before, I heard a 
 Fop outside, then I came in doors 
 Freak out! 
 Now that I told you a little something about the Flea 
 A little something about the Tree, a little something about me 
 I can't leave you hangin' but my man Shermzy, he swings the yang, he bangs the 
 Yang 
 And now, it's time to hear him do his playin', you better be burning Sherman! 
 We're all a bunch of brothers livin' in a cool way 
 Along with six million others in this place called L.A. 
 Step out!"
8,Red Hot Chili Peppers,rock,Police Helicopter,"Ow! 
 Police helicopter shot the sky 
 Police helicopter landin' on my eye 
 Yeah! 
 Police helicopter takes a nose-dive 
 Police helicopter, he ain't shy 
 Yeah! 
 Police helicopter shot the sky 
 Police helicopter landin' on my eye 
 Unh! 
 Police helicopter takes a nose-dive 
 Police helicopter, he ain't shy 
 Yeah! 
 Aww!"
9,Red Hot Chili Peppers,rock,You Always Sing,"You always loser 
 You always fruit 
 You always suck my dick 
 You always sing 
 You always sing the 
 You always sing the same 
 You always sing 
 You always sing the 
 You always sing the same 
 You always sing 
 You always sing the 
 You always eat your friends out 
 You always sing 
 You always sing the 
 You always sing the same 
 You always sit and laught at me 
 You always sing the stupid song 
 You always slap me 
 You always sing 
 You always sing the 
 You always suck my dick"
